ESPECIFICACIONES TÉCNICAS	Motor	2,0L Gasolina
ESPECIFICACIONES TÉCNICAS	Potencia (Hp/rpm)	142 @ 6.250
ESPECIFICACIONES TÉCNICAS	Torque (nm/rpm)	187 @ 4.250
ESPECIFICACIONES TÉCNICAS	Tracción	2WD
ESPECIFICACIONES TÉCNICAS	Transmisión n Velocidades	AT DPS6
ESPECIFICACIONES TÉCNICAS	Dirección electrónicamente asistida (EPAS)	s
ESPECIFICACIONES TÉCNICAS	Frenos	DISCO/TAMBOR
EXTERIOR	Neumáticos	205/60/R16
EXTERIOR	Llantas de aleación	"16"""
EXTERIOR	Luces de posición de tecnología LED	s
EXTERIOR	Neblineros	s
EXTERIOR	Manillas exteriores de puerta	COLOR CARROCERÍA
EXTERIOR	Espejos exteriores bifocales	s
EXTERIOR	Espejos exteriores con regulación eléctrica	s
EXTERIOR	"Sistema de carga de combustible sin tapa ""Easy Fuel"""	s
EXTERIOR	Barras de techo horizontales	s
EXTERIOR	Focos con encendido automático	s
EXTERIOR	Espejos exteriores con señalizador integrado	s
EXTERIOR	Espejo retrovisor electrocromático	s
INTERIOR	Aire acondicionado	n
INTERIOR	Climatizador	s
INTERIOR	Columna de dirección ajustable	s
INTERIOR	Asiento conductor c/ajuste manual	s
INTERIOR	Tapizado de asientos	TELA
INTERIOR	Segunda corrida de asientos abatible 60/40	s
INTERIOR	Respaldo de asiento trasero abatible	s
INTERIOR	Respaldo de asiento trasero reclinable	s
INTERIOR	Portaobjetos debajo de asiento acompañante	s
INTERIOR	Portaobjetos central	s
INTERIOR	Posavasos	2
INTERIOR	Cobertor zona de carga	s
INTERIOR	Volante forrado en cuero	s
INTERIOR	Palanca de cambios y freno de mano forrados en cuero	s
INTERIOR	Ajuste lumbar conductor	s
SEGURIDAD	Airbags frontales	s
SEGURIDAD	Airbags laterales	s
SEGURIDAD	Airbags de cortina	s
SEGURIDAD	Alerta de uso del cinturón de seguridad	s
SEGURIDAD	Sistema de anclaje para sillas de bebé	s
SEGURIDAD	Sistema Antibloqueo de Frenos (ABS)	s
SEGURIDAD	Sistema inmobilizador de motor PATS/ EPATS	s
SEGURIDAD	Sistema de alerta postcolisión	s
SEGURIDAD	Control de Estabilidad Electrónico (ESC)	s
SEGURIDAD	Asistente de Partida en Pendiente (HLA)	s
SEGURIDAD	Alarma perimetral	s
TECNOLOGÍA	Alzavidrios	s
TECNOLOGÍA	"Alzavidrios ""One Touch Down"" conductor"	n
TECNOLOGÍA	"Alzavidrios ""One Touch Up/Down"" 4 puertas"	s
TECNOLOGÍA	Apertura y cierre de puertas con comando a distancia	s
TECNOLOGÍA	Cierre centralizado de puertas	s
TECNOLOGÍA	Radio AM/FM	s
TECNOLOGÍA	Reproductor de CD / MP3	s
TECNOLOGÍA	Parlantes / Tweeters	6
TECNOLOGÍA	Conexión USB/AUX	s
TECNOLOGÍA	Control de audio en volante	s
TECNOLOGÍA	Computador a bordo	s
TECNOLOGÍA	Sistema de conectividad SYNC	s
TECNOLOGÍA	My Key ™	s
TECNOLOGÍA	Acceso inteligente sin llave	s
TECNOLOGÍA	Botón de encendido motor	s
TECNOLOGÍA	Sensor de retroceso	s
TECNOLOGÍA	Limpiaparabrisas con sensor de lluvia	s
TECNOLOGÍA	Control de velocidad crucero al volante	s
