ESPECIFICACIONES TÉCNICAS	Motor	3.2L eVGT L5
ESPECIFICACIONES TÉCNICAS	Potencia (Hp/rpm)	197 @ 3000
ESPECIFICACIONES TÉCNICAS	Torque (nm/rpm)	470 @ 1.500n2.750
ESPECIFICACIONES TÉCNICAS	Tracción	4X4 Electrónica
ESPECIFICACIONES TÉCNICAS	Transmisión n Velocidades	MT6
ESPECIFICACIONES TÉCNICAS	Dirección hidráulicamente asistida	s
ESPECIFICACIONES TÉCNICAS	Frenos	Disco Vent/Tambor
ESPECIFICACIONES TÉCNICAS	Capacidad de estanque de combustible (L)	80
ESPECIFICACIONES TÉCNICAS	Capacidad de carga (kg)	1,12
EXTERIOR	Focos con encendido automático	n
EXTERIOR	Focos delanteros halógenos	s
EXTERIOR	Neblineros	n
EXTERIOR	Neumáticos	P255/70 R16
EXTERIOR	Llantas de acero	16 X 7.0
EXTERIOR	Llantas de aleación	n
EXTERIOR	Parachoques color carrocería	Negros
EXTERIOR	Pisaderas laterales	n
EXTERIOR	Manillas exteriores de puerta	Negras
EXTERIOR	Espejos exteriores color carrocería	Negros
EXTERIOR	Espejos exteriores con regulación eléctrica	n
EXTERIOR	Espejos exteriores cromados	n
EXTERIOR	Espejo retrovisor electrocromático	n
EXTERIOR	Gancho de remolque	s
EXTERIOR	Portalón trasero	s
EXTERIOR	Sujetadores en Pick Up	s
EXTERIOR	Barra de San Andrés	n
EXTERIOR	Protector de cárter	s
EXTERIOR	Protectores de caja de transmisión y tanque de combustible	s
EXTERIOR	Rueda de repuesto temporal	s
EXTERIOR	Barras de techo horizontales	n
EXTERIOR	Barras de techo transversales	n
INTERIOR	Aire acondicionado	s
INTERIOR	Climatizador	n
INTERIOR	Volante forrado en cuero	n
INTERIOR	Terminación palanca de cambios	n
INTERIOR	Número de pasajeros	5
INTERIOR	Tapizado de asientos	Tela
INTERIOR	Apoyabrazos central delatero	n
INTERIOR	Consola central con portaobjetos	Pequeña
INTERIOR	Consola central refrigerada	n
INTERIOR	Posavasos	Delanteros / Traseros
INTERIOR	Espejo de cortesía	n
INTERIOR	Toma corriente 12V	2
SEGURIDAD	Airbags frontales	Conductor/Pasajero
SEGURIDAD	Airbags laterales	n
SEGURIDAD	Airbags de cortina	n
SEGURIDAD	Cinturones de seguridad con Pretensores y Limitadores de Peso	s
SEGURIDAD	Alerta de uso del cinturón de seguridad	n
SEGURIDAD	Sistema de Clasificación de Pasajero Delantero	s
SEGURIDAD	Barras de protección contra impactos laterales	s
SEGURIDAD	Sistema Antibloqueo de Frenos (ABS)	s
SEGURIDAD	Distribución Electrónica de Frenado (EBD)	s
SEGURIDAD	Asistente de Frenado de Emergencia (EBA)	n
SEGURIDAD	"Conexión electrónica a 4x4 en marcha ""Shift on the Fly"""	s
SEGURIDAD	Control Antivuelco (ROM)	n
SEGURIDAD	ESP	n
SEGURIDAD	Control de Balanceo de Trailer (TSC)	n
SEGURIDAD	Control de Tracción (TCS)	n
SEGURIDAD	Asistente de Partida en Pendiente (HLA)	n
SEGURIDAD	Diferencial Trasero	Bloqueable 100%
SEGURIDAD	Sistema inmobilizador de motor PATS/ EPATS	s
SEGURIDAD	Sistema de mitigación de colisión por frenado	n
SEGURIDAD	Alarma perimetral	n
TECNOLOGÍA	Alzavidrios	n
TECNOLOGÍA	"Alzavidrios ""One Touch Down"" conductor"	n
TECNOLOGÍA	"Alzavidrios ""One Touch Up/Down"" conductor y copiloto"	n
TECNOLOGÍA	Apertura y cierre de puertas con comando a distancia	n
TECNOLOGÍA	Cierre automático de puertas en velocidad	s
TECNOLOGÍA	Cierre centralizado de puertas	s
TECNOLOGÍA	Radio AM/FM	s
TECNOLOGÍA	Reproductor de CD / MP3	s
TECNOLOGÍA	Conexión auxiliar (mini plug)	s
TECNOLOGÍA	Conexión USB/AUX	n
TECNOLOGÍA	Control de audio en volante	n
TECNOLOGÍA	Control de velocidad crucero al volante	n
TECNOLOGÍA	Bluetooth	n
TECNOLOGÍA	Sistema de Control por Voz (V2C)	n
TECNOLOGÍA	"Pantalla Multifunción Color de 4,2"""	s
TECNOLOGÍA	Sensor de retroceso	n
TECNOLOGÍA	Computador a bordo	s
TECNOLOGÍA	Limpiaparabrisas con sensor de lluvia	n
